candle_open_time,close_price,rsi_14,macd_histogram,adx_14,plus_di,minus_di,ema_50,ema_200,vwap,cvd_delta,structure_trend,avg_funding_rate,macro_regime,sentiment_classification,onchain_sopr,onchain_mvrv,onchain_lth_net_position_change_btc,onchain_stablecoin_supply,onchain_whale_addr_count,close_price_fwd_24h
2025-11-22T00:00:00+00:00,84689.4,22.810920241994722,-1267.124930832092,46.62523232746189,5.689999221180195,36.65708016933631,103518.23970674336,106254.23552845139,96272.68911549298,-432.23899999998685,bearish,3.812e-05,Neutral,Extreme Fear,0.9754,1.5451,-535873.57820896,263224792401.86,90.0,86807.7
2025-11-23T00:00:00+00:00,86807.7,28.689828788329024,-1025.7279207806278,47.369091644869705,9.45740662033843,34.570732701218994,102862.92442412599,106060.73766249666,95373.62743014652,-539.5769999999902,bearish,-8.93e-06,Neutral,Extreme Fear,1.0253,1.5328,-166064.12787694,263272717486.68005,90.0,88247.1
2025-11-24T00:00:00+00:00,88247.1,32.45440906014545,-684.3168012553242,47.59611967665022,10.616734853418926,32.32035199853009,102289.75483886615,105883.48753650166,94359.20062108485,-4253.133999999991,bearish,-5.29e-05,Neutral,Extreme Fear,1.0981,1.5636,-7205.48374232,263047436459.09995,91.0,87324.1
2025-11-25T00:00:00+00:00,87324.1,31.312864756809788,-447.31926313747135,47.8069314204464,10.180238317894444,30.991532745805987,101702.86641381259,105698.81701375042,93689.76044152804,-4187.774999999994,bearish,-3.019e-05,Risk-On,Extreme Fear,0.999,1.586,4619.1750012,263073667791.30997,91.0,90438.1
2025-11-26T00:00:00+00:00,90438.1,39.0961890320905,-29.53849767060092,47.05256769913926,13.114570564988473,28.68208617722081,101261.1108681729,105546.96908326534,93158.18781032613,-3470.32699999999,bearish,-4.19e-06,Risk-On,Extreme Fear,0.9972,1.5723,-41616.30092674,263421425804.14,91.0,91292.2
2025-11-27T00:00:00+00:00,91292.2,41.06866094445025,335.49872001941276,45.83421776207175,14.925745574939139,27.71660318325863,100870.17318706807,105405.13058492441,92676.2866346677,-1839.7719999999972,bearish,4.624e-05,Risk-On,Extreme Fear,1.0178,1.6217,15444.05377481,264292676106.97,91.0,90847.8
2025-11-28T00:00:00+00:00,90847.8,40.33665227953391,564.7095437139369,44.25091031436743,16.206742072675013,26.25703119637077,100477.13894443796,105260.2815243779,92435.33966051815,2100.9769999999844,bearish,-1.982e-05,Risk-On,Fear,0.9984,1.6398,8557.45079327,264903083379.58997,91.0,90765.0
2025-11-29T00:00:00+00:00,90765.0,40.19290618357881,718.5607848729596,42.79616158863672,15.887223064426278,25.857777805037397,100096.27075053845,105116.04986741893,92117.09415095902,-1284.839,bearish,2.635e-05,Risk-On,Fear,0.9961,1.6327,19487.16398431,265230033364.21002,92.0,90320.6
2025-11-30T00:00:00+00:00,90320.6,39.38172230779336,792.3987507526908,41.10955674363034,16.966117755286593,25.020749856795057,99712.91111326244,104968.83146077795,91635.40590682246,972.8920000000071,bearish,3.593e-05,Risk-On,Extreme Fear,0.9992,1.6317,-1985.253496,265822792632.53998,92.0,86241.6
2025-12-01T00:00:00+00:00,86241.6,32.831890736558165,578.4575196687947,40.978687605652105,14.869445911628285,34.10554255049787,99184.62440293843,104782.49084922792,90797.0620388136,-1294.2119999999995,bullish,1.491e-05,Mixed,Extreme Fear,0.9976,1.6241,-19944.69932644,265749843200.62,92.0,91249.1
2025-12-02T00:00:00+00:00,91249.1,44.9387942264785,773.917796574091,40.14482820912427,16.597441835882748,30.357395384011532,98873.42736752908,104647.83024376298,90307.01733522832,3845.7550000000047,bullish,-1.732e-05,Mixed,Fear,0.9898,1.5509,25696.0262741,265813621332.30997,92.0,93376.7
2025-12-03T00:00:00+00:00,93376.7,49.13398200392777,1030.1842513292636,38.697714529543184,19.096344115707094,28.576128042773803,98657.86943154754,104535.6796940738,89800.2984813863,2159.030999999988,bearish,-8.85e-06,Mixed,Fear,0.9927,1.6412,-30834.16855091,266721043121.47998,91.0,92034.7
2025-12-04T00:00:00+00:00,92034.7,46.71618267567068,1087.3591646554173,37.3848651674104,17.965561263347503,27.12748725361342,98398.13729697705,104411.29183642133,89400.76849118609,-2869.81700000001,bearish,4.837e-05,Neutral,Fear,1.005,1.683,-1579.327444,266640758975.21,92.0,89288.5
2025-12-05T00:00:00+00:00,89288.5,42.14575862840932,924.6590784051964,36.798630385513924,16.437857728936656,29.98206781441205,98040.89661866422,104260.81629576042,89277.22451471318,-1956.4349999999977,bearish,3.91e-06,Neutral,Extreme Fear,1.0015,1.6553,10062.16054286,267649344903.65,90.0,89197.1
2025-12-06T00:00:00+00:00,89197.1,41.99848618201316,799.9902583016328,36.25426951661005,16.00428731371023,29.191250798837203,97694.08106499111,104110.9285714245,89081.62562646999,-1292.4689999999973,bearish,4.192e-05,Neutral,Extreme Fear,0.9845,1.6055,5316.3472321,268113422878.03998,89.0,90345.4
2025-12-07T00:00:00+00:00,90345.4,44.61690261926402,782.9854628007124,35.17458522919105,17.55353498501829,26.963947344680527,97405.89749381499,103973.958137878,88877.86172237179,2608.1149999999907,bearish,-5.39e-06,Neutral,Extreme Fear,1.0002,1.5998,-611.80568154,268123221417.12003,89.0,90610.8
2025-12-08T00:00:00+00:00,90610.8,45.23229787914702,776.2246139651952,33.96315706559961,17.679223939306056,25.553974114641807,97139.42308229284,103840.99139023744,88759.70042203828,-609.3589999999967,bearish,3.395e-05,Neutral,Extreme Fear,0.9979,1.6301,-22384.65617843,268282092010.99002,89.0,92638.4
2025-12-09T00:00:00+00:00,92638.4,49.81979093510382,886.9292015792316,31.99988619142286,20.26053727336534,23.067021313738405,96962.91237318331,103729.5228191903,88793.1824408543,1477.5309999999881,bullish,5.443e-05,Neutral,Fear,0.9969,1.6435,-10073.43054665,268359162339.50003,89.0,91977.5
2025-12-10T00:00:00+00:00,91977.5,48.396788648271695,891.8602514312843,30.17684895111588,19.13020698307593,21.780117983097405,96767.4060056075,103612.58726875059,88995.24055438528,-4472.3979999999865,bullish,3.205e-05,Risk-On,Fear,1.0026,1.6827,-40646.2783116,268482567802.94998,90.0,92477.5
2025-12-11T00:00:00+00:00,92477.5,49.570357363705924,902.2891992147693,29.181260445816832,17.561348546943016,24.370497429204438,96599.17439754446,103501.79038050433,89844.68373763996,-3114.8179999999993,bullish,6.1e-05,Risk-On,Fear,1.0177,1.6607,9562.71231292,268725057274.24002,89.0,90229.6
2025-12-12T00:00:00+00:00,90229.6,44.65358815372701,738.1963622299654,28.256785405182004,16.461116366077157,22.843666761067226,96349.3871662682,103369.72878467842,90048.28528998441,-4500.857999999978,bullish,3.383e-05,Mixed,Extreme Fear,0.998,1.6609,98822.00272141,268911823365.69,91.0,90191.3
2025-12-13T00:00:00+00:00,90191.3,44.57246759721865,612.6476804067374,27.39834429602109,16.167001268741306,22.435512956457433,96107.89355190475,103238.60014005475,90213.22799856689,-1278.813000000002,bullish,0.0001,Mixed,Extreme Fear,0.9949,1.6221,13599.21888785,268929799170.81,90.0,88118.8
2025-12-14T00:00:00+00:00,88118.8,40.3055002162933,386.62495794752795,27.261469104034827,15.199165740041492,25.594157819525176,95794.59576555554,103088.1543675169,90359.2733463159,-6646.125999999989,bullish,1.9e-06,Mixed,Extreme Fear,0.9995,1.6209,35973.20274395,269205574403.74002,90.0,86389.9
2025-12-15T00:00:00+00:00,86389.9,37.11362409282048,130.52209072185383,27.750409692925558,13.722687133457608,27.928509834697945,95425.7841669063,102922.00258276548,90303.13362420398,-5354.22100000002,bullish,3.081e-05,Mixed,Extreme Fear,0.9978,1.5851,29908.36465503,269139794918.43,90.0,87826.3
2025-12-16T00:00:00+00:00,87826.3,41.27462416286961,70.69547203109278,28.20442595403838,12.917846809194527,26.290493118807156,95127.76517996882,102771.79658691706,90209.86311207908,-1598.9280000000144,bullish,4.089e-05,Neutral,Extreme Fear,0.9816,1.5531,-30239.32550296,269118703356.06,90.0,86201.6
2025-12-17T00:00:00+00:00,86201.6,38.19609948751312,-58.486166363451275,27.580452698188928,15.959315347958242,23.675796066520814,94777.7194866367,102606.9190089378,89973.48800066709,2736.216000000015,bullish,5.917e-05,Mixed,Extreme Fear,0.9965,1.5775,-27042.50591421,269132339633.75,90.0,85469.7
2025-12-18T00:00:00+00:00,85469.7,36.862256593321106,-167.25656047108373,27.249615858786402,14.432497935184793,23.02956916986378,94412.69911461174,102436.39941680907,89645.44391025476,-117.67300000000978,bullish,5.491e-05,Risk-On,Extreme Fear,0.994,1.5488,20330.81297096,269009315530.27005,90.0,88100.0
2025-12-19T00:00:00+00:00,88100.0,44.37950244915327,-42.58269747589952,26.942410222198344,13.263251627476,21.16383263271577,94165.14228658774,102293.74867634331,89510.09219738773,2801.411999999982,bullish,0.0001,Risk-On,Extreme Fear,0.9999,1.5372,15710.97506324,268700718265.41003,91.0,88320.8
2025-12-20T00:00:00+00:00,88320.8,44.971791278526275,68.20228700499047,26.657147845366577,13.03814001828898,20.80462777448584,93935.95239299607,102154.71436115583,89467.34978272342,546.7400000000052,bullish,9.682e-05,Risk-On,Extreme Fear,0.9984,1.5868,-38415.20351277,267964820335.56,89.0,88621.3
2025-12-21T00:00:00+00:00,88621.3,45.817436715770036,169.4052805536944,26.123800183733206,13.665780227591146,20.156339997792543,93727.53465209427,102020.05352174134,89710.0025607549,-2198.652000000009,bullish,4.389e-05,Risk-On,Extreme Fear,0.9892,1.5947,3961.39021281,267787493325.44,89.0,88581.5
2025-12-22T00:00:00+00:00,88581.5,45.71722786038617,237.19397976957453,24.8380370221201,16.13462016183761,18.98764225183026,93525.72937162,101886.33657127626,89658.34014997413,1103.258999999991,bearish,2.633e-05,Risk-On,Extreme Fear,1.0021,1.5944,13817.79746483,268251326062.68,89.0,87463.0
2025-12-23T00:00:00+00:00,87463.0,42.87893685169503,211.1049239922961,24.15546165283134,15.312196673875404,20.836422022892094,93287.9752786153,101742.8207844974,89334.9822491114,-3952.714000000007,bearish,1.795e-05,Risk-On,Extreme Fear,1.0013,1.5968,-23772.69019521,268175743403.16998,89.0,87627.3
2025-12-24T00:00:00+00:00,87627.3,43.43447655404152,208.92688983496805,23.59104803623625,14.738988989747407,20.460139543648538,93065.98801278725,101602.36784136808,89117.6789868797,72.4259999999922,bearish,5.953e-05,Neutral,Extreme Fear,0.9984,1.5733,-881.17623376,268245169202.03003,88.0,87182.8
2025-12-25T00:00:00+00:00,87182.8,42.237633288847356,182.52161656942826,22.760923089148577,15.45762850709353,19.661093239624584,92835.27475738383,101458.88955438929,89024.92389805766,-2141.9919999999984,bearish,8.322e-05,Neutral,Extreme Fear,0.9935,1.578,11341.9696205,268090263950.78995,88.0,87318.2
2025-12-26T00:00:00+00:00,87318.2,42.75508660363488,178.9072468110935,21.479415210316553,16.637971243222374,18.323025851113535,92618.91888454524,101318.18617573865,88950.52365089576,2412.1450000000186,bearish,1.809e-05,Neutral,Extreme Fear,1.0022,1.571,15163.50501941,267768828586.11996,88.0,87829.4
2025-12-27T00:00:00+00:00,87829.4,44.76687667547159,213.34215733105975,20.28944360854396,16.330808183827436,17.9847540392727,92431.09461456309,101183.9693978706,88889.25145430196,-200.1790000000001,bearish,5.85e-05,Neutral,Extreme Fear,0.9869,1.5729,12246.52414155,267625925493.94995,88.0,87920.5
2025-12-28T00:00:00+00:00,87920.5,45.136907521882954,242.5244350640212,19.115265573414217,16.35944576886625,17.669886997299322,92254.32989051577,102317.05464222384,88756.18923219362,1098.3680000000022,bearish,9.464e-05,Neutral,Extreme Fear,0.9999,1.5825,8972.80286868,267639080930.69998,88.0,87203.3
2025-12-29T00:00:00+00:00,87203.3,42.71094321405185,214.7480997436162,18.649714181501416,20.678577842660406,16.05149054932721,92056.25028696614,102166.66902389326,88459.17282272404,562.1389999999956,bearish,4.826e-05,Mixed,Extreme Fear,0.9951,1.5834,430.93048973,267513091155.16,88.0,88455.3
2025-12-30T00:00:00+00:00,88455.3,47.96832091242327,277.9075804579495,18.21741646043953,19.324962991570438,15.000763746206585,91915.03655022237,102030.23749131721,88174.89493977034,-1038.205999999991,bearish,8.345e-05,Neutral,Extreme Fear,0.9993,1.5707,255181.06506348,267315388429.31,88.0,87608.2
2025-12-31T00:00:00+00:00,87608.2,44.9618518898394,260.15987888773816,17.815997148024923,18.316728818135825,14.218134426650227,91746.14099923326,101886.7346307071,87881.87659922463,195.71300000000338,bearish,3.75e-05,Mixed,Extreme Fear,0.9941,1.5949,-152450.55118515,267025304206.05,87.0,88800.0
2026-01-01T00:00:00+00:00,88800.0,49.7351643724802,322.15636450606985,17.443250643639928,17.637638743119226,13.69099914664161,91630.60605808687,101756.51836572494,87708.44864666476,677.5729999999967,bearish,1.711e-05,Mixed,Fear,0.9935,1.5796,-4360.62049451,267378826530.43,86.0,89951.4
